,repository_name,language
0,.allstar,
1,.github,
2,add-adaptive-layouts,Kotlin
3,add-play-integrity-codelab,C++
4,adpf-game-adaptability-codelab,C++
5,adpf-unreal-plugin,C++
6,android-dev-challenge-compose,Kotlin
7,android-health-connect-codelab,Kotlin
8,android-ktx,
9,android-studio-poet,Kotlin
10,android-test,Java
11,android.github.io,HTML
12,animation-samples,Java
13,app-actions-samples,Kotlin
14,app-bundle-samples,C++
15,architecture-components-samples,Kotlin
16,architecture-samples,Kotlin
17,architecture-templates,
18,betocq,Python
19,camera-samples,Kotlin
20,car-codelabs,Kotlin
21,car-samples,Java
22,codelab-activity_transitionapi,Java
23,codelab-android-accessibility,Java
24,codelab-android-backup,Java
25,codelab-android-camera2-preview,Kotlin
26,codelab-android-compose,Kotlin
27,codelab-android-dagger,Kotlin
28,codelab-android-dagger-to-hilt,Kotlin
29,codelab-android-databinding,Kotlin
30,codelab-android-datastore,Kotlin
31,codelab-android-direct-share,Kotlin
32,codelab-android-dynamic-features,Kotlin
33,codelab-android-foldable,Kotlin
34,codelab-android-gestural-navigation,Kotlin
35,codelab-android-hilt,Kotlin
36,codelab-android-lifecycles,Java
37,codelab-android-navigation,Kotlin
38,codelab-android-network-security-config,Java
39,codelab-android-paging,Kotlin
40,codelab-android-people,Kotlin
41,codelab-android-performance,Kotlin
42,codelab-android-room-with-a-view,Java
43,codelab-android-sleep,Kotlin
44,codelab-android-stamp-collector-app,Java
45,codelab-android-using-kotlin,Kotlin
46,codelab-android-wavemaker,C++
47,codelab-android-wavemaker2,C++
48,codelab-android-workmanager,Kotlin
49,codelab-biometric-login,Kotlin
50,codelab-complications-data-source,Kotlin
51,codelab-compose-for-wear-os,Kotlin
52,codelab-constraint-layout,Java
53,codelab-cronet-basics,Kotlin
54,codelab-exoplayer-intro,Kotlin
55,codelab-fido2,Kotlin
56,codelab-handling-back-navigation,Kotlin
57,codelab-java-friendly-kotlin,Kotlin
58,codelab-kotlin-coroutines,Kotlin
59,codelab-mlkit-android,Kotlin
60,codelab-ongoing-activity,Kotlin
61,codelab-permissions,Kotlin
62,codelab-slices-basic-codelab,Kotlin
63,codelab-tv-recommendations-kotlin,Kotlin
64,codelab-watchnext-for-movie-tv-episodes,Kotlin
65,codelab-wear-tiles,Kotlin
66,codelab-while-in-use-location,Kotlin
67,compose-samples,Kotlin
68,connectivity-samples,Java
69,cose-lib,Java
70,databinding-samples,Kotlin
71,deep-links,Kotlin
72,enterprise-samples,Kotlin
73,fit-samples,Kotlin
74,games-samples,C++
75,getting-started-with-vulkan-on-android-codelab,C++
76,gradle-declarative,Kotlin
77,gradle-recipes,Kotlin
78,graphics-samples,Kotlin
79,health-samples,Kotlin
80,identity-samples,Kotlin
81,input-samples,Java
82,KEEP,
83,kotlin,Kotlin
84,kotlin-guides,HTML
85,kotlin-multiplatform-samples,Kotlin
86,large-screen-codelabs,Kotlin
87,location-samples,Kotlin
88,media-samples,Java
89,midi-samples,Kotlin
90,ndk,
91,ndk-samples,C++
92,neural-networks-samples,C++
93,nowinandroid,Kotlin
94,packager-manager-samples,Kotlin
95,people-messaging-codelab,Kotlin
96,performance-samples,Kotlin
97,permissions-samples,Kotlin
98,platform-samples,Kotlin
99,privacy-codelab,Kotlin
100,privacy-sandbox-samples,Kotlin
101,project-replicator,Kotlin
102,remote-provisioning-cbor,Java
103,renderscript-intrinsics-replacement-toolkit,Assembly
104,renderscript-samples,C++
105,rr,C++
106,search-samples,Kotlin
107,security-certification-resources,Java
108,security-samples,Kotlin
109,sensors-samples,Java
110,snippets,Kotlin
111,socialite,Kotlin
112,storage-samples,Kotlin
113,studio-projects,Kotlin
114,sunflower,Kotlin
115,testing-samples,Java
116,topeka,Kotlin
117,trackr,Kotlin
118,tuningfork,C#
119,tv-codelabs,Kotlin
120,tv-samples,Kotlin
121,uamp,Kotlin
122,user-interface-samples,Kotlin
123,views-widgets-samples,Java
124,vkquality,C++
125,wear-os-samples,Kotlin
126,xAnd11,Kotlin
