,repository_name,language
0,-AGTF30-mex-solver-,C
1,1d-pinn-reconstruction,Jupyter Notebook
2,889-Compliance-SAM-Tool-,Python
3,abaverify,Python
4,ACCoRD,
5,ADOPT,Python
6,aerie,
7,AGTF30,MATLAB
8,AGTF30-e,HTML
9,AI4LS,Jupyter Notebook
10,airfoil-learning,Python
11,aladyn,
12,aladynpi,
13,AmesGCM,Fortran
14,AMMPER,Python
15,Analysis_SDK,
16,aos-dr,C
17,api-docs,SCSS
18,api-docs-stage,
19,apod-api,Python
20,AppEEARS-Data-Resources,Jupyter Notebook
21,AprilNav,C++
22,AQUAMI-TGO,Python
23,ARC-SGE-interns-19,CSS
24,ASDC_DAAC_TUTORIALS,
25,ASDC_Data_and_User_Services,Jupyter Notebook
26,astrobee,C++
27,astrobee_android,Java
28,astrobee_gds,Java
29,astrobee_media,CMake
30,astrobot,JavaScript
31,atd2-fuser,Java
32,autodoc,
33,batchee,Python
34,BGA,
35,bigstac,
36,bingo,Python
37,bingocpp,C++
38,bistatic,MATLAB
39,bp,C
40,bplib,C
41,BrightComets,Python
42,camel,Python
43,cape,Python
44,cape-doc,
45,CARA_Analysis_Tools,MATLAB
46,cash,Shell
47,CCDD,Java
48,ccmc-swpc-cat-web,Python
49,CCSDS-MAL-Http-Binding-Xml-Encoding,Java
50,CertWare,Java
51,CF,C
52,cfdtools,Fortran
53,cFE,C
54,CFL3D,Fortran
55,cFS,CMake
56,CFS-101,
57,cFS-EDS-GroundStation,Python
58,cFS-GroundSystem,Python
59,CFS_CI,C
60,CFS_IO_LIB,C
61,cfs_lib,C
62,CFS_TO,C
63,channel-emulator,C++
64,ci_lab,C
65,cmr-csw,Ruby
66,cmr-dummy-repo,
67,cmr-graphql,JavaScript
68,cmr-metadata-review,Ruby
69,cmr-opensearch,Ruby
70,cmr-stac,TypeScript
71,cmr-tea-config-generator,Python
72,cmr-token-service-client,Java
73,coda,
74,code-nasa-gov,CSS
75,code.nasa.gov_legacy,CSS
76,common-mapping-client,JavaScript
77,Common-Metadata-Repository,Clojure
78,CompDam_DGD,Fortran
79,Computational-Materials-Miniapp1,
80,concept-tagging-api,Python
81,concept-tagging-training,Python
82,conduit_cms,
83,content-guide,CSS
84,Coordinate-systems-class-library,C++
85,COTS-Star-Tracker,Python
86,CPB,
87,cpr,OCaml
88,cratous,C
89,crew-state-risk-model,
90,CrisisMappingToolkit,Python
91,CryptoLib,C
92,CS,C
93,CTF,Python
94,CTT,Apex
95,cumulus,JavaScript
96,cumulus-api,HTML
97,cumulus-circleci-image,Shell
98,cumulus-dashboard,JavaScript
99,cumulus-distribution-api,JavaScript
100,cumulus-docs,JavaScript
101,cumulus-ecs-task,JavaScript
102,cumulus-ecs-task-python,Python
103,cumulus-integration-tests,JavaScript
104,cumulus-message-adapter,Python
105,cumulus-message-adapter-java,Java
106,cumulus-message-adapter-js,JavaScript
107,cumulus-message-adapter-python,Python
108,cumulus-orca,Python
109,cumulus-process-py,Python
110,cumulus-process-py-seed,Python
111,cumulus-template-deploy,HCL
112,CVAE,Python
113,daa-displays,TypeScript
114,dagvision,
115,daidalus,C++
116,DANTi,TypeScript
117,data-nasa-gov-frontpage,SCSS
118,data.nasa.gov,CSS
119,DAVEtools,Java
120,dawn-grand-toolbox,IDL
121,dcapp,C++
122,DdsJs,C++
123,delete,
124,delta,Python
125,denem,
126,DERT,Java
127,dictionaries,HTML
128,digital-strategy,HTML
129,DON-Federate-HLA2MPC,HTML
130,dorado-scheduling,Python
131,dorado-sensitivity,Jupyter Notebook
132,dorado-streamlit,Python
133,drf,
134,DS,C
135,dss,Go
136,DTN-Network-Monitoring,
137,DTNME,C++
138,DualPol,Jupyter Notebook
139,dvae,Jupyter Notebook
140,EADINLite,C++
141,earth-imagery-api,Python
142,Earthdata-cloud-playground,Jupyter Notebook
143,earthdata-download,TypeScript
144,earthdata-search,JavaScript
145,earthdata-varinfo,Python
146,ecco-interactive-solution-evaluator,JavaScript
147,ECI,C
148,ECOSTRESS-Data-Resources,Jupyter Notebook
149,edsc-echoforms,JavaScript
150,edsc-geo,JavaScript
151,edsc-smart-handoffs,JavaScript
152,edsc-timeline,JavaScript
153,EdsLib,C
154,eefs,C
155,elf2cfetbl,C
156,EMIT-Data-Resources,HTML
157,EMTAT,MATLAB
158,EMTG,C++
159,eo-metadata-tools,Python
160,esdis-data-catalog,
161,ESPRESSO,
162,europa,C++
163,Exominer,
164,exoplnt-dl,
165,exoscene,Jupyter Notebook
166,fe3,
167,feature_selection_tool,Python
168,FEI,Java
169,Field-Data-Collector,
170,FilePlottingTools,
171,FM,C
172,fmdtools,Jupyter Notebook
173,Foundation,C++
174,fpp,C++
175,fprime,C++
176,fprime-gds,JavaScript
177,fprime-tools,Python
178,FPRoCK,Python
179,fs_lib,
180,GEDI-Data-Resources,Jupyter Notebook
181,GeneLab-sampleProcessing,
182,GeneLab-Training,HTML
183,GeneLab_Data_Processing,Jupyter Notebook
184,Generic-Urban-Air-Mobility-GUAM,MATLAB
185,gen_msgids,C
186,gen_sch_tbl,C
187,geolambda,Python
188,GeoNEXTools,R
189,georef,Python
190,georef_deploy,Ruby
191,georef_geocamtiepoint,Python
192,georef_geocamutilweb,Python
193,georef_imageregistration,Python
194,gesdisc-cloud-tutorials,Jupyter Notebook
195,gesdisc-meditor,TypeScript
196,gesdisc-tutorials,Jupyter Notebook
197,GFR,Fortran
198,gFTL,Fortran
199,GHRC-Cloud-Browse,JavaScript
200,GHRC-FieldCampaign-eXplorer-core,Jupyter Notebook
201,GHRC-FieldCampaign-eXplorer-UI,JavaScript
202,GHRC-PyLOT,Python
203,giant,Python
204,gigatraj,C++
205,Giovanni,Perl
206,github-latest-commits-widget,JavaScript
207,GlennOPT,Jupyter Notebook
208,glm_ql,Python
209,GMSEC_API,C++
210,GPU_SDR,HTML
211,grc-atf-kms-tools,Python
212,grc-atf-meza-config,
213,GRC-LunarSiteAvailabilitySoftware-Data,
214,GSAP,C++
215,GTM_DesignSim,MATLAB
216,gunns,C++
217,harmony,TypeScript
218,harmony-browse-image-generator,Python
219,harmony-dttb,
220,harmony-gdal-adapter,Python
221,harmony-maskfill,
222,harmony-netcdf-to-zarr,Python
223,harmony-opendap-subsetter,Python
224,harmony-py,Python
225,harmony-qgis,Python
226,harmony-regression-tests,Jupyter Notebook
227,harmony-regridding-service,Python
228,harmony-service-example,Python
229,harmony-service-lib-py,Python
230,harmony-swath-projector,Python
231,harmony-trajectory-subsetter,
232,HDTN,C++
233,HDTN-BPCodec,C++
234,HeaTTSPy,Python
235,HECC-Data,
236,HK,C
237,HLS-Data-Resources,Jupyter Notebook
238,HS,C
239,hybridq,Python
240,HyperCP,Python
241,icarous,C
242,icc,MATLAB
243,idas-test,
244,IDEAS,
245,IDF,C++
246,instructions,HTML
247,ipv6_python,Python
248,irg_open,C++
249,isaac,Jupyter Notebook
250,isaac_msgs,CMake
251,isaac_user_interface,JavaScript
252,isce3-test,
253,isle,JavaScript
254,ISS_Camera_Geolocate,Jupyter Notebook
255,jeod,C++
